,Channel,CampaignId,TemplateId,TemplateCategory,CampaignTitle,Category,TemplateContent,LongUrl,ScheduleDate,ScheduleTime,Sent,Last_5_Fail,Last_3_Fail,IsDelivered,Click,BotClicks,NotBotClicks,Landed,Login_Last_4_CC,Login_OTP,O_Block,ConsentCTA,ConsentOTP,Set_Pin,Pin_Change,GeneralBlocked,Card_Activated_SameDay,Card_Activated_DiffDay,AlreadyActivated,Managed
41,WHATSAPP,243433,1383,Utility,main_Current_febtomay_HYPSB_CURRDAY_WA_HYPCB_0465,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-19,16:02:30,512,0,0,247,48,0,48,48,23,23,0,0,0,11,1,,11,4,5,3
42,EMAIL,243448,2003,Promotional,main_Current_febtomay_HYPSB_CURRDAY_EML_HYPCB_bc78,,Important communication for your NEW IndusInd Bank Credit Card…,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-19,17:30:00,1364,0,0,1300,115,0,115,113,61,60,0,0,0,48,0,1.0,4,45,6,3
43,EMAIL,250907,2002,Promotional, CurMnth_A_Crd_EML_nw_THUR,,Enable domestic online transactions on your IndusInd Bank Credit Card,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-19,15:00:00,5670,0,0,5337,151,0,151,143,87,84,0,0,0,53,0,1.0,33,33,18,11
44,EMAIL,250911,2003,Promotional,PrvMnth_A_Crd_EML_nw_3feb_2,,Set your IndusInd Bank Credit Card PIN & enjoy the benefits,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-19,15:00:00,3449,0,0,3079,25,0,25,23,13,12,0,0,0,7,1,0.0,0,9,6,5
45,SMS,241428,6607,Implicit,ePayAmex762_SMS_Jan,,"Activate Your Card!
Set your PIN & activate your IndusInd Bank Credit Card to enjoy seamless transactions.
Start here: {#var1#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-19,17:02:00,108,0,13,93,52,0,52,2,1,1,0,0,0,0,1,0.0,0,0,0,0
46,SMS,241361,6255,Explicit,main_RTG_JAN_HYPSB_crd_rest_dec_strat_1_19976_20251222_1f6b5c_HYPCB_cde1,,"Dear {#var1#}, This is an urgent reminder to activate your new IndusInd Bank Visa Credit Card to avoid Card cancellation. By activating your Card today, you will also get a complimentary Times Prime membership worth INR 1199.
To activate your Card for usage, click: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/manage/timhjoiuytfghjiy/,2026-02-19,16:02:45,2310,0,270,1369,621,0,621,66,41,39,2,2,2,25,1,0.0,22,9,9,2
47,WHATSAPP,243430,1383,Utility,main_Current_febtomay_HYPSB_CURRDAY_WA_HYPCB_0465,,"Dear {#var1#},

You need to activate your new Credit Card ending with xx{#var2#} to perform any transactions.",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-18,16:02:30,491,0,0,255,54,0,54,54,33,31,0,0,0,19,0,,16,4,5,5
48,EMAIL,243445,2003,Promotional,main_Current_febtomay_HYPSB_CURRDAY_EML_HYPCB_bc78,,Important communication for your NEW IndusInd Bank Credit Card…,https://pay.indusind.bank.in/crd/#/managev2/,2026-02-18,17:30:00,1447,0,0,1384,112,0,112,110,54,53,0,0,0,41,3,0.0,6,35,3,2
49,SMS,250224,6593,Implicit,PrevMnth_A_Crd_SM_nw_4FEB,,"Reminder: Activate your new IndusInd Bank Credit Card x{#var1#} by setting a PIN instantly.
Proceed Now: {#var2#} - IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-18,12:02:30,3591,0,137,3291,1692,4,1688,133,94,90,1,1,1,63,2,1.0,60,18,41,29
50,SMS,236547,5517,Explicit,main_CURR_JAN_HYPSB_CurrMonth_A_Card_SMS_HYPCB_4280,,"Dear {#var1#}, Congratulations on receiving your new IndusInd Bank Credit Card. To start using your new card, it is important to activate it: {#var2#} Please follow the steps below:

Set your PIN: click on ""Setup PIN"" to set a secure PIN.
Update preferences and limits: Click on ""Manage/Set Limits"" and adjust the settings as per your choice.

Failure to complete these steps will prevent you from using your new card.

Thank you,
- IndusInd Bank",https://pay.indusind.bank.in/crd/#/managev2/,2026-02-18,12:02:00,5409,0,611,3325,1555,0,1555,224,134,131,0,0,0,103,3,0.0,83,26,26,16
